,"S, Subarray Size",Comparisons
353,354,64042.8
354,355,64522.6
355,356,64520.0
356,357,65295.6
357,358,65137.8
358,359,65167.8
359,360,65097.6
360,361,65122.0
361,362,65335.4
362,363,65465.2
363,364,66282.8
364,365,65453.0
365,366,65058.2
366,367,64986.6
367,368,64520.2
368,369,63465.6
369,370,65333.6
370,371,65410.0
371,372,64491.0
372,373,65902.8
373,374,65993.0
374,375,64790.0
375,376,65282.8
376,377,65231.6
377,378,66524.6
378,379,63676.2
379,380,64905.8
380,381,65477.2
381,382,65555.2
382,383,64963.6
383,384,65150.0
384,385,65303.6
385,386,65369.8
386,387,65203.2
387,388,65576.0
388,389,64277.8
389,390,65023.8
390,391,65032.0
391,392,65482.6
392,393,65610.0
393,394,64267.8
394,395,65018.2
395,396,64996.8
396,397,65575.6
397,398,65713.6
398,399,66190.4
399,400,64129.8
400,401,65439.8
401,402,65129.6
402,403,64530.2
403,404,63919.6
404,405,65699.8
405,406,64801.6
406,407,63855.2
407,408,65807.4
408,409,63939.8
409,410,65412.2
410,411,65855.4
411,412,65164.6
412,413,64435.2
413,414,66268.0
414,415,64950.2
415,416,64289.6
416,417,64560.6
417,418,64840.4
418,419,64988.0
419,420,64571.0
420,421,64068.2
421,422,65913.2
422,423,64605.4
423,424,66202.4
424,425,66307.4
425,426,64609.8
426,427,65059.6
427,428,65489.0
428,429,65612.8
429,430,65545.4
430,431,64195.6
431,432,64329.2
432,433,65969.2
433,434,64947.6
434,435,65701.8
435,436,64725.2
436,437,64685.6
437,438,66122.8
438,439,64078.2
439,440,65900.0
440,441,65463.4
441,442,65112.0
442,443,65650.2
443,444,66259.4
444,445,65446.8
445,446,65387.6
446,447,65167.6
447,448,66098.8
448,449,65341.8
449,450,65903.0
450,451,65482.0
451,452,64994.8
452,453,65591.8
453,454,65097.0
454,455,64920.8
455,456,64483.0
456,457,65754.6
457,458,66066.6
458,459,64628.0
459,460,66011.8
460,461,65502.2
461,462,65370.8
462,463,65410.6
463,464,64939.4
464,465,64539.6
465,466,64360.0
466,467,65788.4
467,468,64808.2
468,469,65264.4
469,470,65953.2
470,471,64531.4
471,472,64532.8
472,473,65267.2
473,474,65436.6
474,475,64637.0
475,476,65129.0
476,477,65848.4
477,478,64715.8
478,479,65389.4
479,480,65066.0
480,481,65434.8
481,482,65049.4
482,483,65597.2
483,484,64990.6
484,485,66297.2
485,486,64097.0
486,487,64123.6
487,488,65192.0
488,489,65523.0
489,490,65468.0
490,491,64750.0
491,492,65541.0
492,493,64892.4
493,494,65941.4
494,495,65594.4
495,496,65703.2
496,497,66363.2
497,498,64595.2
498,499,64677.4
499,500,126112.0
500,501,127076.6
501,502,126025.0
502,503,126244.6
503,504,127459.0
504,505,124615.0
505,506,125105.0
506,507,127298.4
507,508,126025.6
508,509,125524.2
509,510,127762.0
510,511,125936.8
511,512,129133.0
512,513,128149.0
513,514,126011.0
514,515,127008.8
515,516,126560.4
516,517,126152.4
517,518,126775.0
518,519,127266.0
519,520,123482.2
520,521,125572.2
521,522,126722.0
522,523,127159.0
523,524,128245.2
524,525,125746.8
525,526,127652.2
526,527,125176.2
527,528,127597.4
528,529,128859.0
529,530,125563.0
530,531,127801.2
531,532,126775.6
532,533,125510.0
533,534,128474.0
534,535,128049.4
535,536,126742.8
536,537,127358.2
537,538,122862.6
538,539,126793.8
539,540,124376.8
540,541,126651.8
541,542,126508.2
542,543,127962.0
543,544,127652.8
544,545,126358.0
545,546,127125.0
546,547,128290.6
547,548,126520.2
548,549,126608.6
549,550,127124.8
550,551,124895.4
551,552,126784.8
552,553,128183.0
553,554,127157.2
554,555,126886.6
555,556,125678.8
556,557,126979.2
557,558,127951.4
558,559,126802.6
559,560,125946.0
560,561,127772.8
561,562,128841.0
562,563,127700.6
563,564,126593.6
564,565,129056.6
565,566,129445.2
566,567,128116.0
567,568,126850.2
568,569,125090.6
569,570,127752.2
570,571,125647.0
571,572,126169.0
572,573,129779.6
573,574,125810.0
574,575,127365.4
575,576,125124.8
576,577,126190.6
577,578,128194.0
578,579,126328.6
579,580,127073.8
580,581,125035.6
581,582,127299.8
582,583,125618.8
583,584,126841.0
584,585,123913.0
585,586,127441.4
586,587,125517.0
587,588,128427.2
588,589,127133.8
589,590,126131.2
590,591,127622.0
591,592,128347.0
592,593,127161.6
593,594,127338.4
594,595,127488.2
595,596,126447.6
596,597,124763.4
597,598,127462.2
598,599,128750.8
599,600,125652.6
600,601,126236.8
601,602,126680.6
602,603,126056.6
603,604,127572.2
604,605,127124.6
605,606,126160.6
606,607,127538.4
607,608,126946.6
608,609,125886.6
609,610,127526.8
610,611,127162.8
611,612,126226.2
612,613,127361.8
613,614,125159.8
614,615,125607.4
615,616,126823.6
616,617,126329.6
617,618,127142.0
618,619,126771.4
619,620,126364.4
620,621,127724.8
621,622,127212.4
622,623,125099.0
623,624,125791.2
624,625,127136.4
625,626,126864.6
626,627,129331.6
627,628,127017.2
628,629,126406.8
629,630,124516.2
630,631,125887.6
631,632,126575.2
632,633,125713.4
633,634,128553.8
634,635,127364.4
635,636,126046.8
636,637,128089.8
637,638,126709.8
638,639,126262.2
639,640,127227.6
640,641,125277.2
641,642,127158.6
642,643,123686.4
643,644,126534.4
644,645,128152.0
645,646,127276.0
646,647,126987.2
647,648,125555.4
648,649,127134.2
649,650,127170.4
650,651,127769.8
651,652,127936.0
652,653,127876.2
653,654,127350.0
654,655,127010.8
655,656,128575.0
656,657,125298.0
657,658,123870.4
658,659,124136.0
659,660,127769.2
660,661,126685.6
661,662,125758.6
662,663,126437.2
663,664,126809.4
664,665,127353.8
665,666,128467.6
666,667,128555.2
667,668,127709.6
668,669,124549.0
669,670,126764.8
670,671,126359.4
671,672,127559.0
672,673,126703.0
673,674,127436.6
674,675,127445.6
675,676,128965.8
676,677,128544.6
677,678,124884.0
678,679,125664.2
679,680,126543.6
680,681,126926.6
681,682,126328.6
682,683,127260.0
683,684,126694.6
684,685,124892.6
685,686,128335.8
686,687,127820.8
687,688,125676.4
688,689,126917.6
689,690,125891.8
690,691,126145.2
691,692,126016.2
692,693,126642.8
693,694,128099.8
694,695,126002.4
695,696,129214.0
696,697,127063.8
697,698,127381.0
698,699,128146.8
699,700,127437.8
700,701,129222.6
701,702,125717.2
702,703,127051.8
703,704,127643.6
704,705,125850.2
705,706,127644.4
706,707,126975.2
707,708,126942.2
708,709,125001.6
709,710,127849.2
710,711,130333.6
711,712,127926.0
712,713,125859.0
713,714,127220.0
714,715,127997.8
715,716,127478.6
716,717,127378.2
717,718,126189.8
718,719,124755.4
719,720,127788.0
720,721,125656.2
721,722,126092.8
722,723,125051.4
723,724,126285.2
724,725,126259.6
725,726,127764.2
726,727,125547.0
727,728,126403.8
728,729,126496.2
729,730,126450.6
730,731,126779.8
731,732,126261.4
732,733,127964.8
733,734,126400.6
734,735,126219.0
735,736,127217.8
736,737,126622.0
737,738,126922.6
738,739,127775.8
739,740,126597.6
740,741,127789.4
741,742,125337.0
742,743,127498.6
743,744,126935.0
744,745,126785.6
745,746,126908.4
746,747,125674.0
747,748,126351.4
748,749,126086.0
749,750,127688.0
750,751,126502.0
751,752,127647.6
752,753,126201.8
753,754,126551.2
754,755,127175.4
755,756,126435.8
756,757,126539.0
757,758,126524.8
758,759,126349.4
759,760,127661.6
760,761,125267.6
761,762,127177.2
762,763,125558.6
763,764,125835.8
764,765,128735.4
765,766,127537.0
766,767,126837.0
767,768,127085.6
768,769,125226.2
769,770,125697.4
770,771,127375.4
771,772,125705.0
772,773,126018.6
773,774,127850.0
774,775,127447.6
775,776,125873.6
776,777,127044.4
777,778,125529.6
778,779,126647.8
779,780,126684.8
780,781,125633.6
781,782,128548.0
782,783,127734.8
783,784,126341.4
784,785,126429.6
785,786,125246.2
786,787,125272.8
787,788,128503.0
788,789,124948.0
789,790,128048.2
790,791,128297.2
791,792,129327.2
792,793,126746.0
793,794,126423.0
794,795,126372.0
795,796,128161.0
796,797,126319.4
797,798,126043.0
798,799,125229.0
799,800,127064.8
800,801,126918.2
801,802,127075.4
802,803,126046.8
803,804,125643.2
804,805,125394.6
805,806,126647.8
806,807,126571.4
807,808,126122.8
808,809,125406.6
809,810,127545.2
810,811,126590.8
811,812,125919.0
812,813,128106.6
813,814,128598.0
814,815,126783.0
815,816,127490.2
816,817,127412.0
817,818,128225.6
818,819,126910.4
819,820,125071.6
820,821,126389.6
821,822,127025.2
822,823,126792.6
823,824,125476.6
824,825,124710.8
825,826,126734.4
826,827,127582.6
827,828,125956.8
828,829,128021.6
829,830,126009.6
830,831,125919.8
831,832,127803.2
832,833,125855.0
833,834,126584.4
834,835,126877.6
835,836,126818.8
836,837,126580.6
837,838,124450.6
838,839,128620.0
839,840,125612.0
840,841,125630.8
841,842,126890.2
842,843,125598.2
843,844,125829.8
